Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed 715574818.
Loaded 1 component, 400 vertex plCurve from trefoil400.vect.
Saved copy of trefoil400.vect to ./trefoil400.rr/trefoil400.vect.
Curve has thickness 0.99995. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./trefoil400.rr/trefoil400.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 1000 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

 239 Rop: 32.74892123913 Str: 513 MRstruts:   1 Thi: 0.4999963 
 240 Rop: 32.74892119777 Str: 513 MRstruts:   1 Thi: 0.4999963 
 241 Rop: 32.74892115611 Str: 513 MRstruts:   1 Thi: 0.4999963 
 242 Rop: 32.74892111414 Str: 513 MRstruts:   1 Thi: 0.4999963 
 243 Rop: 32.74892107185 Str: 514 MRstruts:   1 Thi: 0.4999963 
 244 Rop: 32.74892102935 Str: 514 MRstruts:   1 Thi: 0.4999963 
 245 Rop: 32.74892098651 Str: 514 MRstruts:   1 Thi: 0.4999963 
 246 Rop: 32.74892094334 Str: 514 MRstruts:   1 Thi: 0.4999963 
 247 Rop: 32.74892089982 Str: 514 MRstruts:   1 Thi: 0.4999963 
 248 Rop: 32.74892085595 Str: 514 MRstruts:   1 Thi: 0.4999963 
 249 Rop: 32.74892081171 Str: 515 MRstruts:   1 Thi: 0.4999963 
 250 Rop: 32.74892076715 Str: 515 MRstruts:   1 Thi: 0.4999963 
 251 Rop: 32.74892072221 Str: 517 MRstruts:   1 Thi: 0.4999963 
 252 Rop: 32.74892067819 Str: 517 MRstruts:   1 Thi: 0.4999963 
 253 Rop: 32.74892063378 Str: 517 MRstruts:   1 Thi: 0.4999963 
 254 Rop: 32.74892058898 Str: 517 MRstruts:   1 Thi: 0.4999963 
 255 Rop: 32.74892054378 Str: 516 MRstruts:   1 Thi: 0.4999963 
 256 Rop: 32.74892049816 Str: 516 MRstruts:   1 Thi: 0.4999963 
 257 Rop: 32.74892045212 Str: 516 MRstruts:   1 Thi: 0.4999963 
 258 Rop: 32.74892040565 Str: 516 MRstruts:   1 Thi: 0.4999963 
 259 Rop: 32.74892035872 Str: 518 MRstruts:   1 Thi: 0.4999963 
 260 Rop: 32.74892031242 Str: 518 MRstruts:   1 Thi: 0.4999963 
 261 Rop: 32.74892026567 Str: 518 MRstruts:   1 Thi: 0.4999963 
 262 Rop: 32.74892021845 Str: 518 MRstruts:   1 Thi: 0.4999963 
 263 Rop: 32.74892017075 Str: 518 MRstruts:   1 Thi: 0.4999963 
 264 Rop: 32.74892012256 Str: 518 MRstruts:   1 Thi: 0.4999963 
 265 Rop: 32.74892007387 Str: 518 MRstruts:   1 Thi: 0.4999963 
 266 Rop: 32.74892002466 Str: 518 MRstruts:   1 Thi: 0.4999963 
 267 Rop: 32.74891997491 Str: 519 MRstruts:   1 Thi: 0.4999963 
 268 Rop: 32.74891992473 Str: 519 MRstruts:   1 Thi: 0.4999963 
 269 Rop: 32.74891987398 Str: 520 MRstruts:   1 Thi: 0.4999963 
 270 Rop: 32.74891982686 Str: 520 MRstruts:   1 Thi: 0.4999963 
 271 Rop: 32.74891977924 Str: 520 MRstruts:   1 Thi: 0.4999963 
 272 Rop: 32.74891973110 Str: 520 MRstruts:   1 Thi: 0.4999963 
 273 Rop: 32.74891968243 Str: 520 MRstruts:   1 Thi: 0.4999963 
 274 Rop: 32.74891963320 Str: 520 MRstruts:   1 Thi: 0.4999963 
 275 Rop: 32.74891958341 Str: 520 MRstruts:   1 Thi: 0.4999963 
 276 Rop: 32.74891953304 Str: 520 MRstruts:   1 Thi: 0.4999963 
 277 Rop: 32.74891948206 Str: 520 MRstruts:   1 Thi: 0.4999963 
 278 Rop: 32.74891943047 Str: 521 MRstruts:   1 Thi: 0.4999963 
 279 Rop: 32.74891938729 Str: 521 MRstruts:   1 Thi: 0.4999963 
 280 Rop: 32.74891934366 Str: 521 MRstruts:   1 Thi: 0.4999963 
 281 Rop: 32.74891929955 Str: 520 MRstruts:   1 Thi: 0.4999963 
 282 Rop: 32.74891925496 Str: 521 MRstruts:   1 Thi: 0.4999963 
 283 Rop: 32.74891921012 Str: 520 MRstruts:   1 Thi: 0.4999963 
 284 Rop: 32.74891916477 Str: 520 MRstruts:   1 Thi: 0.4999963 
